time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
48.68,0.3875,-0.6934,0.2154,6.4011,-16.2493,2.2222,-0.212,-0.0256,0.277,849.772,-50.22,43.62,-9.84,0,137.939,57.407,-60.928,49.17436704,-121.67799684,0.41999999
48.705,-0.0782,-2.0014,0.1324,6.4011,-16.2493,2.2222,-0.212,-0.0256,0.277,849.772,-50.22,43.62,-9.84,0,67.12,85.608,30.569,49.17436704,-121.67799684,0.41999999
48.71,-0.0782,-2.0014,0.1324,6.4011,-16.2493,2.2222,-0.212,-0.0256,0.277,849.772,-50.34,43.5,-9.6,0,66.853,85.608,30.569,49.17436704,-121.67799684,0.41999999
48.714,-0.0782,-2.0014,0.1324,6.4011,-16.2493,2.2222,0.0629,0.1875,1.0482,849.772,-50.34,43.5,-9.6,0,66.853,85.608,30.569,49.17436704,-121.67799684,0.41999999
48.725,-0.0782,-2.0014,0.1324,6.4011,-16.2493,2.2222,0.0629,0.1875,1.0482,849.7595,-50.34,43.5,-9.6,0,66.853,85.608,30.569,49.17436704,-121.67799684,0.41999999
48.731,-0.0782,-2.0014,0.1324,6.4011,-16.2493,2.2222,0.0629,0.1875,1.0482,849.7595,-50.34,43.5,-9.6,0,66.853,85.608,30.569,49.17436704,-121.67799684,0.41999999
48.741,-0.0782,-2.0014,0.1324,1.8601,-29.0617,1.3001,0.0629,0.1875,1.0482,849.7595,-50.34,43.5,-9.6,0,66.853,85.608,30.569,49.17436704,-121.67799684,0.41999999
48.763,0.3147,-1.4625,0.662,1.8601,-29.0617,1.3001,0.0629,0.1875,1.0482,849.7595,-50.34,43.5,-9.6,0,100.389,63.38,-25.423,49.17436704,-121.67799684,0.41999999
48.767,0.3147,-1.4625,0.662,1.8601,-29.0617,1.3001,0.0629,0.1875,1.0482,849.7595,-50.46,43.38,-9.3,0,100.141,63.38,-25.423,49.17436704,-121.67799684,0.41999999
48.77,0.3147,-1.4625,0.662,1.8601,-29.0617,1.3001,0.2099,-0.4996,-0.1875,849.7595,-50.46,43.38,-9.3,0,100.141,63.38,-25.423,49.17436704,-121.67799684,0.41999999
48.801,0.3147,-1.4625,0.662,5.2865,-23.8395,7.4523,0.2099,-0.4996,-0.1875,849.7595,-50.46,43.38,-9.3,0,100.141,63.38,-25.423,49.17436704,-121.67799684,0.41999999
48.841,0.0498,-0.8942,0.1744,5.2865,-23.8395,7.4523,0.2099,-0.4996,-0.1875,849.7595,-50.46,43.38,-9.3,0,106.634,78.535,-15.951,49.17436704,-121.67799684,0.41999999
48.852,0.0498,-0.8942,0.1744,5.2865,-23.8395,7.4523,0.2099,-0.4996,-0.1875,849.7595,-50.52,43.26,-9,0,106.309,78.535,-15.951,49.17436704,-121.67799684,0.41999999
48.857,0.0498,-0.8942,0.1744,5.2865,-23.8395,7.4523,0.7329,0.1843,0.4698,849.7595,-50.52,43.26,-9,0,106.309,78.535,-15.951,49.17436704,-121.67799684,0.41999999
48.863,0.0498,-0.8942,0.1744,2.0302,-18.3971,2.7011,0.7329,0.1843,0.4698,849.7595,-50.52,43.26,-9,0,106.309,78.535,-15.951,49.17436704,-121.67799684,0.41999999
48.887,0.1422,-0.8424,0.0073,2.0302,-18.3971,2.7011,0.7329,0.1843,0.4698,849.7595,-50.52,43.26,-9,0,-171.521,80.408,-87.074,49.17436704,-121.67799684,0.41999999
48.891,0.1422,-0.8424,0.0073,2.0302,-18.3971,2.7011,0.7329,0.1843,0.4698,849.7595,-50.64,43.14,-8.64,0,-172.02,80.408,-87.074,49.17436704,-121.67799684,0.41999999
48.896,0.1422,-0.8424,0.0073,2.0302,-18.3971,2.7011,0.4634,-0.3057,0.4719,849.7595,-50.64,43.14,-8.64,0,-172.02,80.408,-87.074,49.17436704,-121.67799684,0.41999999
48.907,0.1422,-0.8424,0.0073,2.0302,-18.3971,2.7011,0.4634,-0.3057,0.4719,849.5742,-50.64,43.14,-8.64,0,-172.02,80.408,-87.074,49.17436704,-121.67799684,0.41999999
48.911,0.1422,-0.8424,0.0073,2.0302,-18.3971,2.7011,0.4634,-0.3057,0.4719,849.5742,-50.64,43.14,-8.64,0,-172.02,80.408,-87.074,49.17436704,-121.67799684,0.41999999
48.927,0.1422,-0.8424,0.0073,3.3623,-17.7181,1.7319,0.4634,-0.3057,0.4719,849.5742,-50.64,43.14,-8.64,0,-172.02,80.408,-87.074,49.17436704,-121.67799684,0.41999999
48.945,0.3396,-1.0095,0.3874,3.3623,-17.7181,1.7319,0.4634,-0.3057,0.4719,849.5742,-50.64,43.14,-8.64,0,116.164,62.964,-41.236,49.17436704,-121.67799684,0.41999999
48.949,0.3396,-1.0095,0.3874,3.3623,-17.7181,1.7319,0.4634,-0.3057,0.4719,849.5742,-50.7,43.02,-8.34,0,115.837,62.964,-41.236,49.17436704,-121.67799684,0.41999999
48.953,0.3396,-1.0095,0.3874,3.3623,-17.7181,1.7319,0.4815,-0.3132,-0.0575,849.5742,-50.7,43.02,-8.34,0,115.837,62.964,-41.236,49.17436704,-121.67799684,0.41999999
48.982,0.3396,-1.0095,0.3874,5.2267,-19.2942,5.8437,0.4815,-0.3132,-0.0575,849.5742,-50.7,43.02,-8.34,0,115.837,62.964,-41.236,49.17436704,-121.67799684,0.41999999
49.004,-0.0694,-0.5742,0.0351,5.2267,-19.2942,5.8437,0.4815,-0.3132,-0.0575,849.5742,-50.7,43.02,-8.34,0,32.915,82.287,63.153,49.17436704,-121.67799684,0.41999999
49.008,-0.0694,-0.5742,0.0351,5.2267,-19.2942,5.8437,0.4815,-0.3132,-0.0575,849.5742,-50.7,42.9,-8.1,0,32.68,82.287,63.153,49.17436704,-121.67799684,0.41999999
49.011,-0.0694,-0.5742,0.0351,5.2267,-19.2942,5.8437,0.4932,0.196,0.0373,849.5742,-50.7,42.9,-8.1,0,32.68,82.287,63.153,49.17436704,-121.67799684,0.41999999
49.041,-0.0694,-0.5742,0.0351,0.618,-15.1513,2.2864,0.4932,0.196,0.0373,849.5742,-50.7,42.9,-8.1,0,32.68,82.287,63.153,49.17436704,-121.67799684,0.41999999
49.074,-0.2839,-0.5004,-0.0895,0.618,-15.1513,2.2864,0.4932,0.196,0.0373,849.5742,-50.7,42.9,-8.1,0,-6.537,59.255,107.494,49.17436704,-121.67799684,0.41999999
49.08,-0.2839,-0.5004,-0.0895,0.618,-15.1513,2.2864,0.4932,0.196,0.0373,849.5742,-50.7,42.9,-7.86,0,-6.741,59.255,107.494,49.17436704,-121.67799684,0.41999999
