time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
0.014,0.1373,0.3053,0.8995,4.3918,-3.4744,1.687,-0.1321,-0.3281,0.277,856.5562,11.1,-37.38,-27.3,-151.14,-18.55,-8.679,49.17048294,-121.6930715,0
0.015,0.1373,0.3053,0.8995,4.3918,-3.4744,1.687,-0.1321,-0.3281,0.277,856.5562,11.1,-37.32,-27.36,-151.059,-18.55,-8.679,49.17048294,-121.6930715,0
0.016,0.1373,0.3053,0.8995,4.3918,-3.4744,1.687,0.0245,0.2386,-0.0543,856.5562,11.1,-37.32,-27.36,-151.059,-18.55,-8.679,49.17048294,-121.6930715,0
0.017,0.1373,0.3053,0.8995,2.5319,-3.4622,1.5276,0.0245,0.2386,-0.0543,856.5562,11.1,-37.32,-27.36,-151.059,-18.55,-8.679,49.17048294,-121.6930715,0
0.051,0.1373,0.3053,0.8995,2.5319,-3.4622,1.5276,0.0245,0.2386,-0.0543,856.7319,11.1,-37.32,-27.36,-151.059,-18.55,-8.679,49.17048294,-121.6930715,0
0.052,0.1373,0.3053,0.8995,2.5319,-3.4622,1.5276,0.0245,0.2386,-0.0543,856.7319,11.1,-37.32,-27.36,-151.059,-18.55,-8.679,49.17048294,-121.6930715,0
0.075,0.1373,0.2907,0.7617,2.5319,-3.4622,1.5276,0.0245,0.2386,-0.0543,856.7319,11.1,-37.32,-27.36,-148.908,-20.584,-10.218,49.17048294,-121.6930715,0
0.076,0.1373,0.2907,0.7617,2.5319,-3.4622,1.5276,0.0245,0.2386,-0.0543,856.7319,11.04,-37.2,-27.36,-148.89,-20.584,-10.218,49.17048294,-121.6930715,0
0.077,0.1373,0.2907,0.7617,2.5319,-3.4622,1.5276,0.1236,-0.1854,0.3462,856.7319,11.04,-37.2,-27.36,-148.89,-20.584,-10.218,49.17048294,-121.6930715,0
0.078,0.1373,0.2907,0.7617,2.5357,-3.4689,0.0588,0.1236,-0.1854,0.3462,856.7319,11.04,-37.2,-27.36,-148.89,-20.584,-10.218,49.17048294,-121.6930715,0
0.134,0.2521,0.3366,0.8286,2.5357,-3.4689,0.0588,0.1236,-0.1854,0.3462,856.7319,11.04,-37.2,-27.36,-144.896,-21.237,-16.923,49.17048294,-121.6930715,0
0.135,0.2521,0.3366,0.8286,2.5357,-3.4689,0.0588,0.1236,-0.1854,0.3462,856.7319,10.98,-37.14,-27.36,-144.916,-21.237,-16.923,49.17048294,-121.6930715,0
0.136,0.2521,0.3366,0.8286,2.5357,-3.4689,0.0588,-0.1406,-0.44,0.6296,856.7319,10.98,-37.14,-27.36,-144.916,-21.237,-16.923,49.17048294,-121.6930715,0
0.138,0.2521,0.3366,0.8286,3.0707,-2.9491,0.5855,-0.1406,-0.44,0.6296,856.7319,10.98,-37.14,-27.36,-144.916,-21.237,-16.923,49.17048294,-121.6930715,0
0.195,0.2218,0.2965,0.6957,3.0707,-2.9491,0.5855,-0.1406,-0.44,0.6296,856.7319,10.98,-37.14,-27.36,-144.022,-22.101,-17.685,49.17048294,-121.6930715,0
0.196,0.2218,0.2965,0.6957,3.0707,-2.9491,0.5855,-0.1406,-0.44,0.6296,856.7319,10.92,-37.08,-27.42,-143.99,-22.101,-17.685,49.17048294,-121.6930715,0
0.197,0.2218,0.2965,0.6957,3.0707,-2.9491,0.5855,-0.4485,0.6977,0.5678,856.7319,10.92,-37.08,-27.42,-143.99,-22.101,-17.685,49.17048294,-121.6930715,0
0.198,0.2218,0.2965,0.6957,2.2102,-3.1454,-0.8988,-0.4485,0.6977,0.5678,856.7319,10.92,-37.08,-27.42,-143.99,-22.101,-17.685,49.17048294,-121.6930715,0
0.231,0.2218,0.2965,0.6957,2.2102,-3.1454,-0.8988,-0.4485,0.6977,0.5678,856.5696,10.92,-37.08,-27.42,-143.99,-22.101,-17.685,49.17048294,-121.6930715,0
0.232,0.2218,0.2965,0.6957,2.2102,-3.1454,-0.8988,-0.4485,0.6977,0.5678,856.5696,10.92,-37.08,-27.42,-143.99,-22.101,-17.685,49.17048294,-121.6930715,0
0.253,0.2453,0.1631,1.1492,2.2102,-3.1454,-0.8988,-0.4485,0.6977,0.5678,856.5696,10.92,-37.08,-27.42,-153.812,-7.904,-12.049,49.17048294,-121.6930715,0
0.255,0.2453,0.1631,1.1492,2.2102,-3.1454,-0.8988,-0.4485,0.6977,0.5678,856.5696,10.8,-37.02,-27.42,-153.932,-7.904,-12.049,49.17048294,-121.6930715,0
