time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
0.018,0.3474,0.3908,0.7094,-0.3674,0.2314,0.788,-0.212,-0.0032,0.0405,851.519,18.24,-24.72,-35.4,-109.978,-26.325,-26.092,49.17435793,-121.6785905,0
0.02,0.3474,0.3908,0.7094,-0.3674,0.2314,0.788,-0.212,-0.0032,0.0405,851.519,18.24,-24.6,-35.4,-109.807,-26.325,-26.092,49.17435793,-121.6785905,0
0.021,0.3474,0.3908,0.7094,-0.3674,0.2314,0.788,0.0128,0.0021,0.0138,851.519,18.24,-24.6,-35.4,-109.807,-26.325,-26.092,49.17435793,-121.6785905,0
0.046,0.3474,0.3908,0.7094,0.305,0.031,-1.5408,0.0128,0.0021,0.0138,851.519,18.24,-24.6,-35.4,-109.807,-26.325,-26.092,49.17435793,-121.6785905,0
0.066,0.3332,0.382,0.9161,0.305,0.031,-1.5408,0.0128,0.0021,0.0138,851.519,18.24,-24.6,-35.4,-114.034,-21.4,-19.989,49.17435793,-121.6785905,0
0.068,0.3332,0.382,0.9161,0.305,0.031,-1.5408,0.0128,0.0021,0.0138,851.519,18.24,-24.54,-35.46,-113.894,-21.4,-19.989,49.17435793,-121.6785905,0
0.07,0.3332,0.382,0.9161,0.305,0.031,-1.5408,-0.4346,0.3398,0.179,851.519,18.24,-24.54,-35.46,-113.894,-21.4,-19.989,49.17435793,-121.6785905,0
0.088,0.3332,0.382,0.9161,0.305,0.031,-1.5408,-0.4346,0.3398,0.179,851.4783,18.24,-24.54,-35.46,-113.894,-21.4,-19.989,49.17435793,-121.6785905,0
0.089,0.3332,0.382,0.9161,0.305,0.031,-1.5408,-0.4346,0.3398,0.179,851.4783,18.24,-24.54,-35.46,-113.894,-21.4,-19.989,49.17435793,-121.6785905,0
0.106,0.3332,0.382,0.9161,0.2553,0.1165,0.3783,-0.4346,0.3398,0.179,851.4783,18.24,-24.54,-35.46,-113.894,-21.4,-19.989,49.17435793,-121.6785905,0
0.126,0.3039,0.3566,0.9009,0.2553,0.1165,0.3783,-0.4346,0.3398,0.179,851.4783,18.24,-24.54,-35.46,-114.803,-20.56,-18.641,49.17435793,-121.6785905,0
0.127,0.3039,0.3566,0.9009,0.2553,0.1165,0.3783,-0.4346,0.3398,0.179,851.4783,18.3,-24.48,-35.46,-114.678,-20.56,-18.641,49.17435793,-121.6785905,0
0.13,0.3039,0.3566,0.9009,0.2553,0.1165,0.3783,0.065,-0.0607,0.0213,851.4783,18.3,-24.48,-35.46,-114.678,-20.56,-18.641,49.17435793,-121.6785905,0
0.169,0.3039,0.3566,0.9009,-0.0779,-0.2063,0.2776,0.065,-0.0607,0.0213,851.4783,18.3,-24.48,-35.46,-114.678,-20.56,-18.641,49.17435793,-121.6785905,0
0.186,0.2814,0.3703,0.8198,-0.0779,-0.2063,0.2776,0.065,-0.0607,0.0213,851.4783,18.3,-24.48,-35.46,-112.043,-23.133,-18.947,49.17435793,-121.6785905,0
0.188,0.2814,0.3703,0.8198,-0.0779,-0.2063,0.2776,0.065,-0.0607,0.0213,851.4783,18.3,-24.36,-35.52,-111.802,-23.133,-18.947,49.17435793,-121.6785905,0
0.19,0.2814,0.3703,0.8198,-0.0779,-0.2063,0.2776,0.0138,0.1502,0.0309,851.4783,18.3,-24.36,-35.52,-111.802,-23.133,-18.947,49.17435793,-121.6785905,0
0.226,0.2814,0.3703,0.8198,-0.2086,-0.0519,-0.5575,0.0138,0.1502,0.0309,851.4783,18.3,-24.36,-35.52,-111.802,-23.133,-18.947,49.17435793,-121.6785905,0
0.247,0.2595,0.3322,0.8755,-0.2086,-0.0519,-0.5575,0.0138,0.1502,0.0309,851.4783,18.3,-24.36,-35.52,-115.237,-19.991,-16.507,49.17435793,-121.6785905,0
0.248,0.2595,0.3322,0.8755,-0.2086,-0.0519,-0.5575,0.0138,0.1502,0.0309,851.4783,18.3,-24.3,-35.52,-115.141,-19.991,-16.507,49.17435793,-121.6785905,0
0.256,0.2595,0.3322,0.8755,-0.2086,-0.0519,-0.5575,0.0085,0.131,0.0469,851.4783,18.3,-24.3,-35.52,-115.141,-19.991,-16.507,49.17435793,-121.6785905,0
0.265,0.2595,0.3322,0.8755,-0.2086,-0.0519,-0.5575,0.0085,0.131,0.0469,851.3918,18.3,-24.3,-35.52,-115.141,-19.991,-16.507,49.17435793,-121.6785905,0
0.267,0.2595,0.3322,0.8755,-0.2086,-0.0519,-0.5575,0.0085,0.131,0.0469,851.3918,18.3,-24.3,-35.52,-115.141,-19.991,-16.507,49.17435793,-121.6785905,0
0.285,0.2595,0.3322,0.8755,-0.3642,-0.4206,-0.0341,0.0085,0.131,0.0469,851.3918,18.3,-24.3,-35.52,-115.141,-19.991,-16.507,49.17435793,-121.6785905,0
0.306,0.258,0.3581,0.8316,-0.3642,-0.4206,-0.0341,0.0085,0.131,0.0469,851.3918,18.3,-24.3,-35.52,-112.557,-22.357,-17.236,49.17435793,-121.6785905,0
0.308,0.258,0.3581,0.8316,-0.3642,-0.4206,-0.0341,0.0085,0.131,0.0469,851.3918,18.3,-24.18,-35.52,-112.363,-22.357,-17.236,49.17435793,-121.6785905,0
0.31,0.258,0.3581,0.8316,-0.3642,-0.4206,-0.0341,0.017,0.0288,0.0618,851.3918,18.3,-24.18,-35.52,-112.363,-22.357,-17.236,49.17435793,-121.6785905,0
0.346,0.258,0.3581,0.8316,-0.3132,-0.1283,-0.5031,0.017,0.0288,0.0618,851.3918,18.3,-24.18,-35.52,-112.363,-22.357,-17.236,49.17435793,-121.6785905,0
