
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0160,0.2516,0.5184,0.7319,0.3108,-0.2705,-0.7584,0.4027,0.1715,0.0724,849.0686,7.8600,-27.9000,-45.1800,14325.0000,-92.141,-33.813,-18.974,49.17435623,-121.67775008,0.00000000,
0.0380,0.2296,0.5076,0.7842,0.3108,-0.2705,-0.7584,0.4027,0.1715,0.0724,849.0686,7.8600,-27.9000,-45.1800,14325.0000,-95.600,-31.850,-16.323,49.17435623,-121.67775008,0.00000000,
0.0390,0.2296,0.5076,0.7842,0.3108,-0.2705,-0.7584,0.4027,0.1715,0.0724,849.0686,7.8000,-27.7200,-45.3600,14325.0000,-94.892,-31.850,-16.323,49.17435623,-121.67775008,0.00000000,
0.0400,0.2296,0.5076,0.7842,0.3108,-0.2705,-0.7584,-0.1364,0.0479,-0.0373,849.0686,7.8000,-27.7200,-45.3600,14325.0000,-94.892,-31.850,-16.323,49.17435623,-121.67775008,0.00000000,
0.0560,0.2296,0.5076,0.7842,0.3108,-0.2705,-0.7584,-0.1364,0.0479,-0.0373,848.8381,7.8000,-27.7200,-45.3600,14325.0000,-94.892,-31.850,-16.323,49.17435623,-121.67775008,0.00000000,
0.0590,0.2296,0.5076,0.7842,0.3108,-0.2705,-0.7584,-0.1364,0.0479,-0.0373,848.8381,7.8000,-27.7200,-45.3600,13502.0000,-94.892,-31.850,-16.323,49.17435623,-121.67775008,0.00000000,
0.0770,0.2296,0.5076,0.7842,0.2050,-0.3386,-0.3000,-0.1364,0.0479,-0.0373,848.8381,7.8000,-27.7200,-45.3600,13502.0000,-94.892,-31.850,-16.323,49.17435623,-121.67775008,0.00000000,
0.1000,0.2296,0.4866,0.7724,0.2050,-0.3386,-0.3000,-0.1364,0.0479,-0.0373,848.8381,7.8000,-27.7200,-45.3600,13502.0000,-96.720,-31.125,-16.557,49.17435623,-121.67775008,0.00000000,
0.1020,0.2296,0.4866,0.7724,0.2050,-0.3386,-0.3000,-0.1364,0.0479,-0.0373,848.8381,7.6800,-27.4800,-45.4800,13502.0000,-95.959,-31.125,-16.557,49.17435623,-121.67775008,0.00000000,
0.1040,0.2296,0.4866,0.7724,0.2050,-0.3386,-0.3000,-0.2407,-0.1811,-0.0405,848.8381,7.6800,-27.4800,-45.4800,13502.0000,-95.959,-31.125,-16.557,49.17435623,-121.67775008,0.00000000,
0.1370,0.2296,0.4866,0.7724,0.0856,-0.4438,-0.4497,-0.2407,-0.1811,-0.0405,848.8381,7.6800,-27.4800,-45.4800,13502.0000,-95.959,-31.125,-16.557,49.17435623,-121.67775008,0.00000000,
0.1600,0.2111,0.5403,0.8042,0.0856,-0.4438,-0.4497,-0.2407,-0.1811,-0.0405,848.8381,7.6800,-27.4800,-45.4800,13502.0000,-90.401,-33.020,-14.707,49.17435623,-121.67775008,0.00000000,
0.1620,0.2111,0.5403,0.8042,0.0856,-0.4438,-0.4497,-0.2407,-0.1811,-0.0405,848.8381,7.5600,-27.3000,-45.6000,13502.0000,-89.703,-33.020,-14.707,49.17435623,-121.67775008,0.00000000,
0.1640,0.2111,0.5403,0.8042,0.0856,-0.4438,-0.4497,-0.2823,-0.1182,-0.0756,848.8381,7.5600,-27.3000,-45.6000,13502.0000,-89.703,-33.020,-14.707,49.17435623,-121.67775008,0.00000000,
0.1990,0.2111,0.5403,0.8042,-0.1094,0.1779,-0.1959,-0.2823,-0.1182,-0.0756,848.8381,7.5600,-27.3000,-45.6000,13502.0000,-89.703,-33.020,-14.707,49.17435623,-121.67775008,0.00000000,
0.2190,0.2511,0.5203,0.7881,-0.1094,0.1779,-0.1959,-0.2823,-0.1182,-0.0756,848.8381,7.5600,-27.3000,-45.6000,13502.0000,-93.252,-32.172,-17.676,49.17435623,-121.67775008,0.00000000,
0.2210,0.2511,0.5203,0.7881,-0.1094,0.1779,-0.1959,-0.2823,-0.1182,-0.0756,848.8381,7.3200,-27.0600,-45.7800,13502.0000,-92.367,-32.172,-17.676,49.17435623,-121.67775008,0.00000000,
0.2230,0.2511,0.5203,0.7881,-0.1094,0.1779,-0.1959,-0.4623,-0.4389,0.0405,848.8381,7.3200,-27.0600,-45.7800,13502.0000,-92.367,-32.172,-17.676,49.17435623,-121.67775008,0.00000000,
0.2390,0.2511,0.5203,0.7881,-0.1094,0.1779,-0.1959,-0.4623,-0.4389,0.0405,848.8818,7.3200,-27.0600,-45.7800,13502.0000,-92.367,-32.172,-17.676,49.17435623,-121.67775008,0.00000000,
0.2410,0.2511,0.5203,0.7881,-0.1094,0.1779,-0.1959,-0.4623,-0.4389,0.0405,848.8818,7.3200,-27.0600,-45.7800,14599.0000,-92.367,-32.172,-17.676,49.17435623,-121.67775008,0.00000000,
0.2560,0.2511,0.5203,0.7881,0.0924,0.1343,-0.3954,-0.4623,-0.4389,0.0405,848.8818,7.3200,-27.0600,-45.7800,14599.0000,-92.367,-32.172,-17.676,49.17435623,-121.67775008,0.00000000,
0.2780,0.2072,0.4954,0.8604,0.0924,0.1343,-0.3954,-0.4623,-0.4389,0.0405,848.8818,7.3200,-27.0600,-45.7800,14599.0000,-98.638,-29.239,-13.538,49.17435623,-121.67775008,0.00000000,
0.2840,0.2072,0.4954,0.8604,0.0924,0.1343,-0.3954,-0.4623,-0.4389,0.0405,848.8818,6.9600,-26.8800,-45.9000,14599.0000,-97.977,-29.239,-13.538,49.17435623,-121.67775008,0.00000000,
0.2860,0.2072,0.4954,0.8604,0.0924,0.1343,-0.3954,-0.3462,-0.2450,0.1928,848.8818,6.9600,-26.8800,-45.9000,14599.0000,-97.977,-29.239,-13.538,49.17435623,-121.67775008,0.00000000,
0.3160,0.2072,0.4954,0.8604,-0.4808,0.1092,0.2255,-0.3462,-0.2450,0.1928,848.8818,6.9600,-26.8800,-45.9000,14599.0000,-97.977,-29.239,-13.538,49.17435623,-121.67775008,0.00000000,
0.3390,0.0479,0.4925,0.8487,-0.4808,0.1092,0.2255,-0.3462,-0.2450,0.1928,848.8818,6.9600,-26.8800,-45.9000,14599.0000,-92.893,-30.086,-3.229,49.17435623,-121.67775008,0.00000000,
0.3400,0.0479,0.4925,0.8487,-0.4808,0.1092,0.2255,-0.3462,-0.2450,0.1928,848.8818,6.6000,-26.7000,-46.0800,14599.0000,-91.408,-30.086,-3.229,49.17435623,-121.67775008,0.00000000,
0.3420,0.0479,0.4925,0.8487,-0.4808,0.1092,0.2255,0.5774,1.0237,0.5507,848.8818,6.6000,-26.7000,-46.0800,14599.0000,-91.408,-30.086,-3.229,49.17435623,-121.67775008,0.00000000,
0.3770,0.0479,0.4925,0.8487,-1.6064,-0.0838,0.0855,0.5774,1.0237,0.5507,848.8818,6.6000,-26.7000,-46.0800,14599.0000,-91.408,-30.086,-3.229,49.17435623,-121.67775008,0.00000000,
0.4000,0.2531,0.5193,0.7084,-1.6064,-0.0838,0.0855,0.5774,1.0237,0.5507,848.8818,6.6000,-26.7000,-46.0800,14599.0000,-86.263,-34.619,-19.660,49.17435623,-121.67775008,0.00000000,
0.4030,0.2531,0.5193,0.7084,-1.6064,-0.0838,0.0855,0.5774,1.0237,0.5507,848.8818,6.2400,-26.5200,-46.2600,14599.0000,-85.382,-34.619,-19.660,49.17435623,-121.67775008,0.00000000,
0.4080,0.2531,0.5193,0.7084,-1.6064,-0.0838,0.0855,0.9811,0.9790,1.1484,848.8818,6.2400,-26.5200,-46.2600,14599.0000,-85.382,-34.619,-19.660,49.17435623,-121.67775008,0.00000000,
0.4160,0.2531,0.5193,0.7084,-1.6064,-0.0838,0.0855,0.9811,0.9790,1.1484,848.8896,6.2400,-26.5200,-46.2600,14599.0000,-85.382,-34.619,-19.660,49.17435623,-121.67775008,0.00000000,
0.4170,0.2531,0.5193,0.7084,-1.6064,-0.0838,0.0855,0.9811,0.9790,1.1484,848.8896,6.2400,-26.5200,-46.2600,14874.0000,-85.382,-34.619,-19.660,49.17435623,-121.67775008,0.00000000,
0.4360,0.2531,0.5193,0.7084,0.5085,-0.2126,-1.0680,0.9811,0.9790,1.1484,848.8896,6.2400,-26.5200,-46.2600,14874.0000,-85.382,-34.619,-19.660,49.17435623,-121.67775008,0.00000000,
0.4580,0.2228,0.4719,0.8819,0.5085,-0.2126,-1.0680,0.9811,0.9790,1.1484,848.8896,6.2400,-26.5200,-46.2600,14874.0000,-101.664,-27.422,-14.179,49.17435623,-121.67775008,0.00000000,
0.4600,0.2228,0.4719,0.8819,0.5085,-0.2126,-1.0680,0.9811,0.9790,1.1484,848.8896,5.8800,-26.2800,-46.4400,14874.0000,-100.789,-27.422,-14.179,49.17435623,-121.67775008,0.00000000,
0.4620,0.2228,0.4719,0.8819,0.5085,-0.2126,-1.0680,0.3057,1.4477,0.7436,848.8896,5.8800,-26.2800,-46.4400,14874.0000,-100.789,-27.422,-14.179,49.17435623,-121.67775008,0.00000000,
0.4960,0.2228,0.4719,0.8819,0.5287,-0.7226,0.5904,0.3057,1.4477,0.7436,848.8896,5.8800,-26.2800,-46.4400,14874.0000,-100.789,-27.422,-14.179,49.17435623,-121.67775008,0.00000000,
0.5180,0.1764,0.5281,0.8931,0.5287,-0.7226,0.5904,0.3057,1.4477,0.7436,848.8896,5.8800,-26.2800,-46.4400,14874.0000,-91.713,-30.119,-11.172,49.17435623,-121.67775008,0.00000000,
