
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0110,0.2785,0.5477,0.7578,-0.2211,0.2475,-0.4003,0.0874,-0.0629,-0.0352,848.8230,21.1800,-29.3400,-31.9800,-110.457,-34.152,-20.180,49.17437819,-121.67816955,0.00000000,
0.0380,0.2712,0.5169,0.7035,-0.2211,0.2475,-0.4003,0.0874,-0.0629,-0.0352,848.8230,21.1800,-29.3400,-31.9800,-110.411,-34.432,-21.079,49.17437819,-121.67816955,0.00000000,
0.0410,0.2712,0.5169,0.7035,-0.2211,0.2475,-0.4003,0.0874,-0.0629,-0.0352,848.8230,21.2400,-29.2800,-31.9800,-110.318,-34.432,-21.079,49.17437819,-121.67816955,0.00000000,
0.0420,0.2712,0.5169,0.7035,-0.2211,0.2475,-0.4003,-0.3132,0.1470,0.1161,848.8230,21.2400,-29.2800,-31.9800,-110.318,-34.432,-21.079,49.17437819,-121.67816955,0.00000000,
0.0620,0.2712,0.5169,0.7035,-0.2019,-0.0618,-0.9605,-0.3132,0.1470,0.1161,848.8230,21.2400,-29.2800,-31.9800,-110.318,-34.432,-21.079,49.17437819,-121.67816955,0.00000000,
0.0760,0.2712,0.5169,0.7035,-0.2019,-0.0618,-0.9605,-0.3132,0.1470,0.1161,848.7498,21.2400,-29.2800,-31.9800,-110.318,-34.432,-21.079,49.17437819,-121.67816955,0.00000000,
0.0770,0.2712,0.5169,0.7035,-0.2019,-0.0618,-0.9605,-0.3132,0.1470,0.1161,848.7498,21.2400,-29.2800,-31.9800,-110.318,-34.432,-21.079,49.17437819,-121.67816955,0.00000000,
0.0980,0.2585,0.4842,0.7280,-0.2019,-0.0618,-0.9605,-0.3132,0.1470,0.1161,848.7498,21.2400,-29.2800,-31.9800,-112.272,-32.077,-19.548,49.17437819,-121.67816955,0.00000000,
0.1000,0.2585,0.4842,0.7280,-0.2019,-0.0618,-0.9605,-0.3132,0.1470,0.1161,848.7498,21.3000,-29.2800,-32.0400,-112.191,-32.077,-19.548,49.17437819,-121.67816955,0.00000000,
0.1030,0.2585,0.4842,0.7280,-0.2019,-0.0618,-0.9605,-0.1470,0.4016,0.1992,848.7498,21.3000,-29.2800,-32.0400,-112.191,-32.077,-19.548,49.17437819,-121.67816955,0.00000000,
0.1170,0.2585,0.4842,0.7280,-0.2685,-0.2590,-0.8210,-0.1470,0.4016,0.1992,848.7498,21.3000,-29.2800,-32.0400,-112.191,-32.077,-19.548,49.17437819,-121.67816955,0.00000000,
0.1580,0.2819,0.4627,0.6493,-0.2685,-0.2590,-0.8210,-0.1470,0.4016,0.1992,848.7498,21.3000,-29.2800,-32.0400,-112.034,-33.168,-23.471,49.17437819,-121.67816955,0.00000000,
0.1600,0.2819,0.4627,0.6493,-0.2685,-0.2590,-0.8210,-0.1470,0.4016,0.1992,848.7498,21.3600,-29.2800,-31.9800,-112.081,-33.168,-23.471,49.17437819,-121.67816955,0.00000000,
0.1620,0.2819,0.4627,0.6493,-0.2685,-0.2590,-0.8210,-0.4964,0.4953,0.2844,848.7498,21.3600,-29.2800,-31.9800,-112.081,-33.168,-23.471,49.17437819,-121.67816955,0.00000000,
0.1830,0.2819,0.4627,0.6493,0.1175,-0.3559,-1.7152,-0.4964,0.4953,0.2844,848.7498,21.3600,-29.2800,-31.9800,-112.081,-33.168,-23.471,49.17437819,-121.67816955,0.00000000,
0.2190,0.2682,0.4617,0.8237,0.1175,-0.3559,-1.7152,-0.4964,0.4953,0.2844,848.7498,21.3600,-29.2800,-31.9800,-115.867,-28.054,-18.038,49.17437819,-121.67816955,0.00000000,
0.2200,0.2682,0.4617,0.8237,0.1175,-0.3559,-1.7152,-0.4964,0.4953,0.2844,848.7498,21.4200,-29.2800,-31.9800,-115.838,-28.054,-18.038,49.17437819,-121.67816955,0.00000000,
0.2210,0.2682,0.4617,0.8237,0.1175,-0.3559,-1.7152,-0.7744,0.5795,0.3835,848.7498,21.4200,-29.2800,-31.9800,-115.838,-28.054,-18.038,49.17437819,-121.67816955,0.00000000,
0.2380,0.2682,0.4617,0.8237,0.1044,0.0663,-0.2893,-0.7744,0.5795,0.3835,848.7498,21.4200,-29.2800,-31.9800,-115.838,-28.054,-18.038,49.17437819,-121.67816955,0.00000000,
0.2560,0.2682,0.4617,0.8237,0.1044,0.0663,-0.2893,-0.7744,0.5795,0.3835,848.6919,21.4200,-29.2800,-31.9800,-115.838,-28.054,-18.038,49.17437819,-121.67816955,0.00000000,
0.2590,0.2682,0.4617,0.8237,0.1044,0.0663,-0.2893,-0.7744,0.5795,0.3835,848.6919,21.4200,-29.2800,-31.9800,-115.838,-28.054,-18.038,49.17437819,-121.67816955,0.00000000,
0.2780,0.2081,0.4641,0.9356,0.1044,0.0663,-0.2893,-0.7744,0.5795,0.3835,848.6919,21.4200,-29.2800,-31.9800,-117.945,-25.837,-12.542,49.17437819,-121.67816955,0.00000000,
0.2820,0.2081,0.4641,0.9356,0.1044,0.0663,-0.2893,-0.7744,0.5795,0.3835,848.6919,21.4800,-29.2800,-31.9800,-117.904,-25.837,-12.542,49.17437819,-121.67816955,0.00000000,
0.2840,0.2081,0.4641,0.9356,0.1044,0.0663,-0.2893,-0.8171,0.4890,0.3473,848.6919,21.4800,-29.2800,-31.9800,-117.904,-25.837,-12.542,49.17437819,-121.67816955,0.00000000,
0.2990,0.2081,0.4641,0.9356,-0.3325,0.5115,0.5526,-0.8171,0.4890,0.3473,848.6919,21.4800,-29.2800,-31.9800,-117.904,-25.837,-12.542,49.17437819,-121.67816955,0.00000000,
0.3370,0.2301,0.3708,0.9234,-0.3325,0.5115,0.5526,-0.8171,0.4890,0.3473,848.6919,21.4800,-29.2800,-31.9800,-122.067,-21.287,-13.994,49.17437819,-121.67816955,0.00000000,
0.3390,0.2301,0.3708,0.9234,-0.3325,0.5115,0.5526,-0.8171,0.4890,0.3473,848.6919,21.5400,-29.2800,-31.9800,-122.022,-21.287,-13.994,49.17437819,-121.67816955,0.00000000,
0.3400,0.2301,0.3708,0.9234,-0.3325,0.5115,0.5526,-0.3696,0.4186,0.5593,848.6919,21.5400,-29.2800,-31.9800,-122.022,-21.287,-13.994,49.17437819,-121.67816955,0.00000000,
0.3570,0.2301,0.3708,0.9234,0.0175,-0.0410,0.2371,-0.3696,0.4186,0.5593,848.6919,21.5400,-29.2800,-31.9800,-122.022,-21.287,-13.994,49.17437819,-121.67816955,0.00000000,
0.3990,0.1793,0.3283,0.8467,0.0175,-0.0410,0.2371,-0.3696,0.4186,0.5593,848.6919,21.5400,-29.2800,-31.9800,-122.819,-20.772,-11.958,49.17437819,-121.67816955,0.00000000,
0.4010,0.1793,0.3283,0.8467,0.0175,-0.0410,0.2371,-0.3696,0.4186,0.5593,848.6919,21.7200,-29.2200,-31.9800,-122.592,-20.772,-11.958,49.17437819,-121.67816955,0.00000000,
0.4030,0.1793,0.3283,0.8467,0.0175,-0.0410,0.2371,-0.0692,0.6977,0.3728,848.6919,21.7200,-29.2200,-31.9800,-122.592,-20.772,-11.958,49.17437819,-121.67816955,0.00000000,
0.4170,0.1793,0.3283,0.8467,-0.3386,-0.4374,-0.5579,-0.0692,0.6977,0.3728,848.6919,21.7200,-29.2200,-31.9800,-122.592,-20.772,-11.958,49.17437819,-121.67816955,0.00000000,
0.4360,0.1793,0.3283,0.8467,-0.3386,-0.4374,-0.5579,-0.0692,0.6977,0.3728,848.7651,21.7200,-29.2200,-31.9800,-122.592,-20.772,-11.958,49.17437819,-121.67816955,0.00000000,
0.4380,0.1793,0.3283,0.8467,-0.3386,-0.4374,-0.5579,-0.0692,0.6977,0.3728,848.7651,21.7200,-29.2200,-31.9800,-122.592,-20.772,-11.958,49.17437819,-121.67816955,0.00000000,
0.4570,0.0591,0.3117,0.8306,-0.3386,-0.4374,-0.5579,-0.0692,0.6977,0.3728,848.7651,21.7200,-29.2200,-31.9800,-124.942,-20.521,-4.072,49.17437819,-121.67816955,0.00000000,
0.4590,0.0591,0.3117,0.8306,-0.3386,-0.4374,-0.5579,-0.0692,0.6977,0.3728,848.7651,21.9000,-29.0400,-32.0400,-124.439,-20.521,-4.072,49.17437819,-121.67816955,0.00000000,
0.4620,0.0591,0.3117,0.8306,-0.3386,-0.4374,-0.5579,-0.0597,0.8543,0.6860,848.7651,21.9000,-29.0400,-32.0400,-124.439,-20.521,-4.072,49.17437819,-121.67816955,0.00000000,
0.4800,0.0591,0.3117,0.8306,-1.1901,-0.4764,-0.8366,-0.0597,0.8543,0.6860,848.7651,21.9000,-29.0400,-32.0400,-124.439,-20.521,-4.072,49.17437819,-121.67816955,0.00000000,
0.5210,0.0733,0.2736,0.8926,-1.1901,-0.4764,-0.8366,-0.0597,0.8543,0.6860,848.7651,21.9000,-29.0400,-32.0400,-127.807,-16.985,-4.694,49.17437819,-121.67816955,0.00000000,
0.5250,0.0733,0.2736,0.8926,-1.1901,-0.4764,-0.8366,-0.0597,0.8543,0.6860,848.7651,22.2000,-28.8600,-32.1000,-127.198,-16.985,-4.694,49.17437819,-121.67816955,0.00000000,
