
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0900,-0.0726,0.5223,0.7203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1090,-0.0726,0.5223,0.7203,0.0000,0.0000,0.0000,0.5189,0.9398,0.8790,49.28016406,-122.98106718,0.00000000,
0.1480,-0.1164,0.4403,0.7789,0.0000,0.0000,0.0000,0.5189,0.9398,0.8790,49.28016406,-122.98106718,0.00000000,
0.1660,-0.1164,0.4403,0.7789,0.0000,0.0000,0.0000,0.1203,1.0501,0.8263,49.28016406,-122.98106718,0.00000000,
0.1850,-0.1164,0.4403,0.7789,0.0000,0.0000,0.0000,0.1203,1.0501,0.8263,49.28016406,-122.98106718,0.00000000,
0.2240,-0.1020,0.4639,0.7701,0.0000,0.0000,0.0000,0.1203,1.0501,0.8263,49.28016406,-122.98106718,0.00000000,
0.2420,-0.1020,0.4639,0.7701,0.0000,0.0000,0.0000,0.9617,1.1161,1.3812,49.28016406,-122.98106718,0.00000000,
0.2620,-0.1020,0.4639,0.7701,-0.0976,-0.3933,0.3580,0.9617,1.1161,1.3812,49.28016406,-122.98106718,0.00000000,
0.2800,-0.1936,0.6949,0.8132,-0.0976,-0.3933,0.3580,0.9617,1.1161,1.3812,49.28016406,-122.98106718,0.00000000,
0.2990,-0.1936,0.6949,0.8132,-0.0976,-0.3933,0.3580,-0.3375,0.5457,0.8063,49.28016406,-122.98106718,0.00000000,
0.3180,-0.1936,0.6949,0.8132,-0.1294,0.6941,0.2660,-0.3375,0.5457,0.8063,49.28016406,-122.98106718,0.00000000,
0.3570,-0.1318,0.6687,0.8431,-0.1294,0.6941,0.2660,-0.3375,0.5457,0.8063,49.28016406,-122.98106718,0.00000000,
0.3750,-0.1318,0.6687,0.8431,-0.1294,0.6941,0.2660,-0.7808,1.5298,0.7560,49.28016353,-122.98106651,0.00000000,
0.3940,-0.1318,0.6687,0.8431,0.4632,1.5347,0.5253,-0.7808,1.5298,0.7560,49.28016353,-122.98106651,0.00000000,
0.4160,-0.1020,0.3603,0.7511,0.4632,1.5347,0.5253,-0.7808,1.5298,0.7560,49.28016353,-122.98106651,0.00000000,
0.4330,-0.1020,0.3603,0.7511,0.4632,1.5347,0.5253,-0.6759,2.8728,0.5839,49.28016353,-122.98106651,0.00000000,
0.4520,-0.1020,0.3603,0.7511,1.9104,0.2081,0.1321,-0.6759,2.8728,0.5839,49.28016353,-122.98106651,0.00000000,
0.4810,-0.5367,0.3511,0.6102,1.9104,0.2081,0.1321,-0.6759,2.8728,0.5839,49.28016353,-122.98106651,0.00000000,
0.5000,-0.5367,0.3511,0.6102,1.9104,0.2081,0.1321,-1.3337,1.9389,1.3850,49.28016353,-122.98106651,0.00000000,
0.5180,-0.5367,0.3511,0.6102,-1.3688,-1.7128,-1.6193,-1.3337,1.9389,1.3850,49.28016353,-122.98106651,0.00000000,
0.5570,-0.5197,0.3447,0.5557,-1.3688,-1.7128,-1.6193,-1.3337,1.9389,1.3850,49.28016353,-122.98106651,0.00000000,
0.5790,-0.5197,0.3447,0.5557,-1.3688,-1.7128,-1.6193,-1.9744,0.4328,1.7698,49.28016353,-122.98106651,0.00000000,
0.5950,-0.5197,0.3447,0.5557,-1.2303,0.1982,-0.8543,-1.9744,0.4328,1.7698,49.28016353,-122.98106651,0.00000000,
0.6140,-0.3345,0.2952,1.0221,-1.2303,0.1982,-0.8543,-1.9744,0.4328,1.7698,49.28016353,-122.98106651,0.00000000,
0.6320,-0.3345,0.2952,1.0221,-1.2303,0.1982,-0.8543,-2.1956,0.8417,1.7262,49.28016353,-122.98106651,0.00000000,
0.6520,-0.3345,0.2952,1.0221,-1.6434,0.7131,-1.0095,-2.1956,0.8417,1.7262,49.28016353,-122.98106651,0.00000000,
0.6900,-0.3725,0.2231,1.0657,-1.6434,0.7131,-1.0095,-2.1956,0.8417,1.7262,49.28016353,-122.98106651,0.00000000,
0.7090,-0.3725,0.2231,1.0657,-1.6434,0.7131,-1.0095,-1.3517,1.5577,1.0708,49.28016353,-122.98106651,0.00000000,
0.7290,-0.3725,0.2231,1.0657,1.8972,0.0083,2.8284,-1.3517,1.5577,1.0708,49.28016353,-122.98106651,0.00000000,
0.7470,-0.3406,0.1427,1.0118,1.8972,0.0083,2.8284,-1.3517,1.5577,1.0708,49.28016353,-122.98106651,0.00000000,
0.7650,-0.3406,0.1427,1.0118,1.8972,0.0083,2.8284,-1.2154,0.9807,1.2094,49.28016353,-122.98106651,0.00000000,
0.7850,-0.3406,0.1427,1.0118,-0.0956,-0.7289,1.7513,-1.2154,0.9807,1.2094,49.28016353,-122.98106651,0.00000000,
0.8270,-0.4436,0.0946,1.0197,-0.0956,-0.7289,1.7513,-1.2154,0.9807,1.2094,49.28016353,-122.98106651,0.00000000,
0.8420,-0.4436,0.0946,1.0197,-0.0956,-0.7289,1.7513,-1.1301,1.5751,0.7043,49.28016353,-122.98106651,0.00000000,
0.8620,-0.4436,0.0946,1.0197,0.9248,-0.0900,1.9500,-1.1301,1.5751,0.7043,49.28016353,-122.98106651,0.00000000,
0.8810,-0.4202,0.1207,0.9928,0.9248,-0.0900,1.9500,-1.1301,1.5751,0.7043,49.28016353,-122.98106651,0.00000000,
0.8980,-0.4202,0.1207,0.9928,0.9248,-0.0900,1.9500,-1.1222,0.3956,0.7476,49.28016353,-122.98106651,0.00000000,
0.9180,-0.4202,0.1207,0.9928,1.1853,-0.7003,1.3342,-1.1222,0.3956,0.7476,49.28016353,-122.98106651,0.00000000,
0.9560,-0.4501,0.2326,0.8691,1.1853,-0.7003,1.3342,-1.1222,0.3956,0.7476,49.28016353,-122.98106651,0.00000000,
0.9750,-0.4501,0.2326,0.8691,1.1853,-0.7003,1.3342,-0.7681,0.5374,0.5352,49.28016353,-122.98106651,0.00000000,
0.9940,-0.4501,0.2326,0.8691,0.9818,0.6941,1.5272,-0.7681,0.5374,0.5352,49.28016353,-122.98106651,0.00000000,
1.0130,-0.7779,0.2082,0.8095,0.9818,0.6941,1.5272,-0.7681,0.5374,0.5352,49.28016353,-122.98106651,0.00000000,
