
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0890,-0.1407,-0.1398,1.0163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1080,-0.1407,-0.1398,1.0163,0.0000,0.0000,0.0000,0.1575,0.0277,0.6836,49.28019552,-122.98351186,0.00000000,
0.1460,-0.1229,0.0452,0.9052,0.0000,0.0000,0.0000,0.1575,0.0277,0.6836,49.28019552,-122.98351186,0.00000000,
0.1650,-0.1229,0.0452,0.9052,0.0000,0.0000,0.0000,-0.0347,0.5412,0.2055,49.28019552,-122.98351186,0.00000000,
0.1850,-0.1229,0.0452,0.9052,0.0000,0.0000,0.0000,-0.0347,0.5412,0.2055,49.28019552,-122.98351186,0.00000000,
0.2220,-0.1932,-0.0035,0.9551,0.0000,0.0000,0.0000,-0.0347,0.5412,0.2055,49.28019552,-122.98351186,0.00000000,
0.2410,-0.1932,-0.0035,0.9551,0.0000,0.0000,0.0000,-0.3378,0.7793,0.3191,49.28019552,-122.98351186,0.00000000,
0.2620,-0.1932,-0.0035,0.9551,0.1955,0.2730,-0.0845,-0.3378,0.7793,0.3191,49.28019552,-122.98351186,0.00000000,
0.2790,-0.2661,-0.0313,0.9335,0.1955,0.2730,-0.0845,-0.3378,0.7793,0.3191,49.28019552,-122.98351186,0.00000000,
0.2970,-0.2661,-0.0313,0.9335,0.1955,0.2730,-0.0845,-0.1090,0.4745,0.5397,49.28018662,-122.98352506,0.00000000,
0.3180,-0.2661,-0.0313,0.9335,-0.2208,0.0922,0.3057,-0.1090,0.4745,0.5397,49.28018662,-122.98352506,0.00000000,
0.3560,-0.3593,-0.1351,1.0110,-0.2208,0.0922,0.3057,-0.1090,0.4745,0.5397,49.28018662,-122.98352506,0.00000000,
0.3740,-0.3593,-0.1351,1.0110,-0.2208,0.0922,0.3057,-0.3953,0.4644,0.7979,49.28018662,-122.98352506,0.00000000,
0.3920,-0.3593,-0.1351,1.0110,-0.8552,-0.2189,0.3739,-0.3953,0.4644,0.7979,49.28018662,-122.98352506,0.00000000,
