time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
0.01,0.2922,0.4744,0.5941,0.2904,0.0992,-0.8777,0.1598,0.0884,0.1353,850.3623,22.02,-35.64,-27.6,-122.318,-35.623,-26.189,0,0,0
0.011,0.2922,0.4744,0.5941,0.2904,0.0992,-0.8777,0.1598,0.0884,0.1353,850.3623,21.84,-35.7,-27.6,-122.453,-35.623,-26.189,0,0,0
0.012,0.2922,0.4744,0.5941,0.2904,0.0992,-0.8777,0.2823,0.3984,0.0959,850.3623,21.84,-35.7,-27.6,-122.453,-35.623,-26.189,0,0,0
0.041,0.2922,0.4744,0.5941,0.232,-0.273,-2.2414,0.2823,0.3984,0.0959,850.3623,21.84,-35.7,-27.6,-122.453,-35.623,-26.189,0,0,0
0.058,0.2248,0.4998,0.6767,0.232,-0.273,-2.2414,0.2823,0.3984,0.0959,850.3623,21.84,-35.7,-27.6,-121.667,-35.028,-18.374,0,0,0
0.059,0.2248,0.4998,0.6767,0.232,-0.273,-2.2414,0.2823,0.3984,0.0959,850.3623,21.6,-35.7,-27.54,-121.868,-35.028,-18.374,0,0,0
0.061,0.2248,0.4998,0.6767,0.232,-0.273,-2.2414,-0.2631,0.4474,0.2961,850.3623,21.6,-35.7,-27.54,-121.868,-35.028,-18.374,0,0,0
0.077,0.2248,0.4998,0.6767,0.232,-0.273,-2.2414,-0.2631,0.4474,0.2961,850.3416,21.6,-35.7,-27.54,-121.868,-35.028,-18.374,0,0,0
0.079,0.2248,0.4998,0.6767,0.232,-0.273,-2.2414,-0.2631,0.4474,0.2961,850.3416,21.6,-35.7,-27.54,-121.868,-35.028,-18.374,0,0,0
0.097,0.2248,0.4998,0.6767,-0.3045,0.0728,-1.5297,-0.2631,0.4474,0.2961,850.3416,21.6,-35.7,-27.54,-121.868,-35.028,-18.374,0,0,0
0.14,0.1647,0.5325,1.1198,-0.3045,0.0728,-1.5297,-0.2631,0.4474,0.2961,850.3416,21.6,-35.7,-27.54,-130.977,-25.196,-8.365,0,0,0
0.142,0.1647,0.5325,1.1198,-0.3045,0.0728,-1.5297,-0.2631,0.4474,0.2961,850.3416,21.42,-35.76,-27.54,-131.232,-25.196,-8.365,0,0,0
0.143,0.1647,0.5325,1.1198,-0.3045,0.0728,-1.5297,-0.5465,1.3848,1.2219,850.3416,21.42,-35.76,-27.54,-131.232,-25.196,-8.365,0,0,0
0.158,0.1647,0.5325,1.1198,-0.5194,0.8287,2.4687,-0.5465,1.3848,1.2219,850.3416,21.42,-35.76,-27.54,-131.232,-25.196,-8.365,0,0,0
0.179,0.2389,0.3293,0.8511,-0.5194,0.8287,2.4687,-0.5465,1.3848,1.2219,850.3416,21.42,-35.76,-27.54,-133.114,-20.429,-15.681,0,0,0
0.181,0.2389,0.3293,0.8511,-0.5194,0.8287,2.4687,-0.5465,1.3848,1.2219,850.3416,21.24,-35.82,-27.48,-133.372,-20.429,-15.681,0,0,0
0.182,0.2389,0.3293,0.8511,-0.5194,0.8287,2.4687,1.1047,2.6291,2.105,850.3416,21.24,-35.82,-27.48,-133.372,-20.429,-15.681,0,0,0
0.22,0.2389,0.3293,0.8511,0.997,-1.4394,-0.1791,1.1047,2.6291,2.105,850.3416,21.24,-35.82,-27.48,-133.372,-20.429,-15.681,0,0,0
0.242,0.2028,0.4099,0.7871,0.997,-1.4394,-0.1791,1.1047,2.6291,2.105,850.3416,21.24,-35.82,-27.48,-129.226,-26.761,-14.447,0,0,0
0.244,0.2028,0.4099,0.7871,0.997,-1.4394,-0.1791,1.1047,2.6291,2.105,850.3416,21.06,-35.88,-27.42,-129.495,-26.761,-14.447,0,0,0
0.245,0.2028,0.4099,0.7871,0.997,-1.4394,-0.1791,-0.3015,1.4466,1.8109,850.3416,21.06,-35.88,-27.42,-129.495,-26.761,-14.447,0,0,0
0.256,0.2028,0.4099,0.7871,0.997,-1.4394,-0.1791,-0.3015,1.4466,1.8109,850.0981,21.06,-35.88,-27.42,-129.495,-26.761,-14.447,0,0,0
0.257,0.2028,0.4099,0.7871,0.997,-1.4394,-0.1791,-0.3015,1.4466,1.8109,850.0981,21.06,-35.88,-27.42,-129.495,-26.761,-14.447,0,0,0
0.277,0.2028,0.4099,0.7871,0.9528,-0.4199,-0.9707,-0.3015,1.4466,1.8109,850.0981,21.06,-35.88,-27.42,-129.495,-26.761,-14.447,0,0,0
0.297,0.1666,0.3043,0.9654,0.9528,-0.4199,-0.9707,-0.3015,1.4466,1.8109,850.0981,21.06,-35.88,-27.42,-137.058,-17.257,-9.792,0,0,0
0.3,0.1666,0.3043,0.9654,0.9528,-0.4199,-0.9707,-0.3015,1.4466,1.8109,850.0981,20.88,-36,-27.42,-137.368,-17.257,-9.792,0,0,0
0.304,0.1666,0.3043,0.9654,0.9528,-0.4199,-0.9707,-0.8064,0.1917,0.3345,850.0981,20.88,-36,-27.42,-137.368,-17.257,-9.792,0,0,0
0.337,0.1666,0.3043,0.9654,0.5591,-0.9014,0.5208,-0.8064,0.1917,0.3345,850.0981,20.88,-36,-27.42,-137.368,-17.257,-9.792,0,0,0
0.358,0.0987,0.3429,0.9821,0.5591,-0.9014,0.5208,-0.8064,0.1917,0.3345,850.0981,20.88,-36,-27.42,-137.58,-19.16,-5.739,0,0,0
0.361,0.0987,0.3429,0.9821,0.5591,-0.9014,0.5208,-0.8064,0.1917,0.3345,850.0981,20.76,-36.06,-27.36,-137.812,-19.16,-5.739,0,0,0
0.362,0.0987,0.3429,0.9821,0.5591,-0.9014,0.5208,0.0117,0.3143,0.3025,850.0981,20.76,-36.06,-27.36,-137.812,-19.16,-5.739,0,0,0
0.396,0.0987,0.3429,0.9821,0.0348,-0.4532,0.6378,0.0117,0.3143,0.3025,850.0981,20.76,-36.06,-27.36,-137.812,-19.16,-5.739,0,0,0
0.419,0.0332,0.3444,0.9356,0.0348,-0.4532,0.6378,0.0117,0.3143,0.3025,850.0981,20.76,-36.06,-27.36,-138.626,-20.197,-2.034,0,0,0
0.421,0.0332,0.3444,0.9356,0.0348,-0.4532,0.6378,0.0117,0.3143,0.3025,850.0981,20.64,-36.12,-27.36,-138.847,-20.197,-2.034,0,0,0
0.423,0.0332,0.3444,0.9356,0.0348,-0.4532,0.6378,0.3419,-0.1662,-0.3398,850.0981,20.64,-36.12,-27.36,-138.847,-20.197,-2.034,0,0,0
