
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0940,-0.4482,-0.0406,0.9046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1510,-0.5247,0.0771,0.8795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.27917225,-122.98109167,0.00000000,
0.1700,-0.5247,0.0771,0.8795,0.0000,0.0000,0.0000,0.5544,0.9719,0.6349,49.27917225,-122.98109167,0.00000000,
0.1710,-0.5247,0.0771,0.8795,0.0000,0.0000,0.0000,0.5544,0.9719,0.6349,49.27917225,-122.98109167,0.00000000,
0.2270,-0.5379,0.1284,0.8429,0.0000,0.0000,0.0000,0.5544,0.9719,0.6349,49.27917225,-122.98109167,0.00000000,
0.2470,-0.5379,0.1284,0.8429,0.0000,0.0000,0.0000,0.5778,0.7756,0.7904,49.27917225,-122.98109167,0.00000000,
0.2480,-0.5379,0.1284,0.8429,0.3637,0.2853,0.1430,0.5778,0.7756,0.7904,49.27917225,-122.98109167,0.00000000,
0.2840,-0.6572,0.1505,0.8236,0.3637,0.2853,0.1430,0.5778,0.7756,0.7904,49.27917225,-122.98109167,0.00000000,
0.3050,-0.6572,0.1505,0.8236,0.1636,-0.4163,0.4917,0.5778,0.7756,0.7904,49.27917225,-122.98109167,0.00000000,
0.3050,-0.6572,0.1505,0.8236,0.1636,-0.4163,0.4917,0.8567,1.7343,1.3417,49.27917225,-122.98109167,0.00000000,
0.3600,-0.6628,0.2327,0.6848,0.1636,-0.4163,0.4917,0.8567,1.7343,1.3417,49.27917225,-122.98109167,0.00000000,
0.3810,-0.6628,0.2327,0.6848,0.1636,-0.4163,0.4917,1.0935,2.2062,1.8536,49.27917225,-122.98109167,0.00000000,
0.3830,-0.6628,0.2327,0.6848,0.2118,-0.9120,0.6540,1.0935,2.2062,1.8536,49.27917225,-122.98109167,0.00000000,
0.4180,-0.7629,0.2469,0.5783,0.2118,-0.9120,0.6540,1.0935,2.2062,1.8536,49.27917225,-122.98109167,0.00000000,
0.4370,-0.7629,0.2469,0.5783,0.4343,-1.1761,0.7627,1.0935,2.2062,1.8536,49.27917225,-122.98109167,0.00000000,
0.4380,-0.7629,0.2469,0.5783,0.4343,-1.1761,0.7627,1.9382,2.3499,1.4183,49.27917225,-122.98109167,0.00000000,
0.4940,-0.8974,0.2480,0.5065,0.4343,-1.1761,0.7627,1.9382,2.3499,1.4183,49.27917225,-122.98109167,0.00000000,
0.5130,-0.8974,0.2480,0.5065,0.4343,-1.1761,0.7627,0.9012,2.3872,0.9167,49.27917225,-122.98109167,0.00000000,
