
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0880,-0.1689,0.3965,0.8466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1080,-0.1689,0.3965,0.8466,0.0000,0.0000,0.0000,-0.2476,1.1910,1.6054,49.27916128,-122.98351972,0.00000000,
0.1450,-0.4000,0.3765,0.9230,0.0000,0.0000,0.0000,-0.2476,1.1910,1.6054,49.27916128,-122.98351972,0.00000000,
0.1630,-0.4000,0.3765,0.9230,0.0000,0.0000,0.0000,0.0981,1.4470,1.6798,49.27916128,-122.98351972,0.00000000,
0.1830,-0.4000,0.3765,0.9230,0.0000,0.0000,0.0000,0.0981,1.4470,1.6798,49.27916128,-122.98351972,0.00000000,
0.2240,-0.5285,0.2149,0.8767,0.0000,0.0000,0.0000,0.0981,1.4470,1.6798,49.27916128,-122.98351972,0.00000000,
0.2410,-0.5285,0.2149,0.8767,0.0000,0.0000,0.0000,0.6788,2.5276,2.1545,49.27916128,-122.98351972,0.00000000,
0.2600,-0.5285,0.2149,0.8767,-0.8038,-1.5527,0.7270,0.6788,2.5276,2.1545,49.27916128,-122.98351972,0.00000000,
0.2790,-0.5947,0.1051,0.9114,-0.8038,-1.5527,0.7270,0.6788,2.5276,2.1545,49.27916128,-122.98351972,0.00000000,
0.2970,-0.5947,0.1051,0.9114,-0.8038,-1.5527,0.7270,1.2963,2.3734,1.2131,49.27916128,-122.98351972,0.00000000,
0.3160,-0.5947,0.1051,0.9114,-0.1905,-2.3559,1.5698,1.2963,2.3734,1.2131,49.27916128,-122.98351972,0.00000000,
0.3560,-0.6760,0.1116,0.9746,-0.1905,-2.3559,1.5698,1.2963,2.3734,1.2131,49.27916128,-122.98351972,0.00000000,
0.3730,-0.6760,0.1116,0.9746,-0.1905,-2.3559,1.5698,1.3855,1.3842,0.3211,49.27916128,-122.98351972,0.00000000,
0.3930,-0.6760,0.1116,0.9746,-0.2479,-2.6400,1.5567,1.3855,1.3842,0.3211,49.27916128,-122.98351972,0.00000000,
0.4120,-0.7143,0.3148,0.8443,-0.2479,-2.6400,1.5567,1.3855,1.3842,0.3211,49.27916128,-122.98351972,0.00000000,
0.4310,-0.7143,0.3148,0.8443,-0.2479,-2.6400,1.5567,0.6463,1.5778,-0.0682,49.27916128,-122.98351972,0.00000000,
0.4500,-0.7143,0.3148,0.8443,-0.8501,-1.1392,1.6856,0.6463,1.5778,-0.0682,49.27916128,-122.98351972,0.00000000,
0.4870,-0.5103,0.5374,0.7295,-0.8501,-1.1392,1.6856,0.6463,1.5778,-0.0682,49.27916128,-122.98351972,0.00000000,
0.5070,-0.5103,0.5374,0.7295,-0.8501,-1.1392,1.6856,-1.1447,0.8276,0.4855,49.27916203,-122.98351930,0.00000000,
0.5250,-0.5103,0.5374,0.7295,1.1518,1.3808,-0.1275,-1.1447,0.8276,0.4855,49.27916203,-122.98351930,0.00000000,
0.5450,-0.6881,0.5083,0.7674,1.1518,1.3808,-0.1275,-1.1447,0.8276,0.4855,49.27916203,-122.98351930,0.00000000,
0.5640,-0.6881,0.5083,0.7674,1.1518,1.3808,-0.1275,-0.5342,0.8775,0.3877,49.27916203,-122.98351930,0.00000000,
0.5820,-0.6881,0.5083,0.7674,1.2237,1.3365,1.1073,-0.5342,0.8775,0.3877,49.27916203,-122.98351930,0.00000000,
0.6120,-0.8201,0.4441,0.5754,1.2237,1.3365,1.1073,-0.5342,0.8775,0.3877,49.27916203,-122.98351930,0.00000000,
0.6300,-0.8201,0.4441,0.5754,1.2237,1.3365,1.1073,-0.2464,1.6373,0.1097,49.27916203,-122.98351930,0.00000000,
