
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0920,-0.2478,0.3059,0.9721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1090,-0.2478,0.3059,0.9721,0.0000,0.0000,0.0000,-0.5944,2.9000,1.6391,49.27908382,-122.98361164,0.00000000,
0.1470,-0.2429,0.3529,0.8810,0.0000,0.0000,0.0000,-0.5944,2.9000,1.6391,49.27908382,-122.98361164,0.00000000,
0.1670,-0.2429,0.3529,0.8810,0.0000,0.0000,0.0000,0.3027,2.4340,1.5787,49.27908382,-122.98361164,0.00000000,
0.1870,-0.2429,0.3529,0.8810,0.0000,0.0000,0.0000,0.3027,2.4340,1.5787,49.27908382,-122.98361164,0.00000000,
0.2240,-0.4559,0.2839,0.9468,0.0000,0.0000,0.0000,0.3027,2.4340,1.5787,49.27908382,-122.98361164,0.00000000,
0.2430,-0.4559,0.2839,0.9468,0.0000,0.0000,0.0000,1.3619,3.4212,2.1303,49.27908382,-122.98361164,0.00000000,
0.2630,-0.4559,0.2839,0.9468,-0.3174,-0.6278,0.2922,1.3619,3.4212,2.1303,49.27908382,-122.98361164,0.00000000,
0.2810,-0.6080,0.2957,0.8021,-0.3174,-0.6278,0.2922,1.3619,3.4212,2.1303,49.27908382,-122.98361164,0.00000000,
0.2990,-0.6080,0.2957,0.8021,-0.3174,-0.6278,0.2922,1.2712,2.5949,1.4772,49.27908382,-122.98361164,0.00000000,
0.3200,-0.6080,0.2957,0.8021,-0.0256,-0.9183,0.5043,1.2712,2.5949,1.4772,49.27908382,-122.98361164,0.00000000,
0.3630,-0.8584,0.1772,0.8197,-0.0256,-0.9183,0.5043,1.2712,2.5949,1.4772,49.27908382,-122.98361164,0.00000000,
0.3760,-0.8584,0.1772,0.8197,-0.0256,-0.9183,0.5043,1.0432,2.8148,0.8392,49.27908386,-122.98361161,0.00000000,
0.3970,-0.8584,0.1772,0.8197,-1.1869,-2.0090,1.2314,1.0432,2.8148,0.8392,49.27908386,-122.98361161,0.00000000,
0.4150,-0.9111,0.1181,0.7019,-1.1869,-2.0090,1.2314,1.0432,2.8148,0.8392,49.27908386,-122.98361161,0.00000000,
0.4340,-0.9111,0.1181,0.7019,-1.1869,-2.0090,1.2314,0.8881,2.3897,0.0367,49.27908386,-122.98361161,0.00000000,
0.4530,-0.9111,0.1181,0.7019,-1.2598,-2.4875,1.8121,0.8881,2.3897,0.0367,49.27908386,-122.98361161,0.00000000,
0.4900,-0.7709,0.3245,0.6678,-1.2598,-2.4875,1.8121,0.8881,2.3897,0.0367,49.27908386,-122.98361161,0.00000000,
0.5100,-0.7709,0.3245,0.6678,-1.2598,-2.4875,1.8121,-0.1391,2.1281,0.3971,49.27908386,-122.98361161,0.00000000,
0.5310,-0.7709,0.3245,0.6678,-0.4495,-1.6933,1.3781,-0.1391,2.1281,0.3971,49.27908386,-122.98361161,0.00000000,
0.5480,-0.7246,0.5977,0.4378,-0.4495,-1.6933,1.3781,-0.1391,2.1281,0.3971,49.27908386,-122.98361161,0.00000000,
