
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0070,0.5223,0.3122,0.7729,-0.1592,-0.6946,-1.9551,-0.1609,0.3430,0.2184,849.4482,13.0200,-13.4400,-37.7400,-99.141,-18.502,-34.050,0.00000000,0.00000000,0.00000000,
0.0090,0.5223,0.3122,0.7729,-0.1592,-0.6946,-1.9551,-0.1609,0.3430,0.2184,849.4482,13.0200,-13.4400,-37.7400,-99.141,-18.502,-34.050,0.00000000,0.00000000,0.00000000,
0.0200,0.5223,0.3122,0.7729,0.9556,-0.2074,-0.6817,-0.1609,0.3430,0.2184,849.4482,13.0200,-13.4400,-37.7400,-99.141,-18.502,-34.050,0.00000000,0.00000000,0.00000000,
0.0380,0.3880,0.3161,0.9332,0.9556,-0.2074,-0.6817,-0.1609,0.3430,0.2184,849.4482,13.0200,-13.4400,-37.7400,-98.405,-17.367,-22.574,0.00000000,0.00000000,0.00000000,
0.0400,0.3880,0.3161,0.9332,0.9556,-0.2074,-0.6817,-0.1609,0.3430,0.2184,849.4482,12.5400,-12.9600,-37.7400,-97.440,-17.367,-22.574,0.00000000,0.00000000,0.00000000,
0.0410,0.3880,0.3161,0.9332,0.9556,-0.2074,-0.6817,-0.0799,0.4730,0.2780,849.4482,12.5400,-12.9600,-37.7400,-97.440,-17.367,-22.574,0.00000000,0.00000000,0.00000000,
0.0770,0.3880,0.3161,0.9332,-0.1398,-0.0681,0.7422,-0.0799,0.4730,0.2780,849.4482,12.5400,-12.9600,-37.7400,-97.440,-17.367,-22.574,0.00000000,0.00000000,0.00000000,
0.0990,0.4920,0.3341,0.8531,-0.1398,-0.0681,0.7422,-0.0799,0.4730,0.2780,849.4482,12.5400,-12.9600,-37.7400,-97.251,-18.743,-29.976,0.00000000,0.00000000,0.00000000,
0.1010,0.4920,0.3341,0.8531,-0.1398,-0.0681,0.7422,-0.0799,0.4730,0.2780,849.4482,12.1200,-12.6000,-37.8000,-96.516,-18.743,-29.976,0.00000000,0.00000000,0.00000000,
0.1030,0.4920,0.3341,0.8531,-0.1398,-0.0681,0.7422,0.1236,0.1854,0.0607,849.4482,12.1200,-12.6000,-37.8000,-96.516,-18.743,-29.976,0.00000000,0.00000000,0.00000000,
0.1360,0.4920,0.3341,0.8531,0.9452,0.0513,-0.0514,0.1236,0.1854,0.0607,849.4482,12.1200,-12.6000,-37.8000,-96.516,-18.743,-29.976,0.00000000,0.00000000,0.00000000,
0.1590,0.4544,0.2990,0.8785,0.9452,0.0513,-0.0514,0.1236,0.1854,0.0607,849.4482,12.1200,-12.6000,-37.8000,-98.007,-16.819,-27.352,0.00000000,0.00000000,0.00000000,
0.1630,0.4544,0.2990,0.8785,0.9452,0.0513,-0.0514,0.1236,0.1854,0.0607,849.4482,11.7600,-12.2400,-37.7400,-97.343,-16.819,-27.352,0.00000000,0.00000000,0.00000000,
0.1650,0.4544,0.2990,0.8785,0.9452,0.0513,-0.0514,0.1055,0.2482,-0.0234,849.4482,11.7600,-12.2400,-37.7400,-97.343,-16.819,-27.352,0.00000000,0.00000000,0.00000000,
0.1750,0.4544,0.2990,0.8785,0.9452,0.0513,-0.0514,0.1055,0.2482,-0.0234,849.3003,11.7600,-12.2400,-37.7400,-97.343,-16.819,-27.352,0.00000000,0.00000000,0.00000000,
0.1780,0.4544,0.2990,0.8785,0.9452,0.0513,-0.0514,0.1055,0.2482,-0.0234,849.3003,11.7600,-12.2400,-37.7400,-97.343,-16.819,-27.352,0.00000000,0.00000000,0.00000000,
0.2020,0.4544,0.2990,0.8785,0.6793,-0.3667,0.1792,0.1055,0.2482,-0.0234,849.3003,11.7600,-12.2400,-37.7400,-97.343,-16.819,-27.352,0.00000000,0.00000000,0.00000000,
