time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
0.021,0.3244,0.5149,0.768,-0.1848,-0.3202,0.8403,-0.0362,-0.13,0.049,849.1631,-1.8,-44.16,-39.48,11238,-142.858,-31.7,-22.9,49.17429765,-121.6758945,0
0.023,0.3244,0.5149,0.768,-0.1848,-0.3202,0.8403,-0.0362,-0.13,0.049,849.1631,-1.8,-44.22,-39.42,11238,-143.026,-31.7,-22.9,49.17429765,-121.6758945,0
0.024,0.3244,0.5149,0.768,-0.1848,-0.3202,0.8403,-0.049,0.1971,0.0842,849.1631,-1.8,-44.22,-39.42,11238,-143.026,-31.7,-22.9,49.17429765,-121.6758945,0
0.041,0.3244,0.5149,0.768,-0.0896,0.0638,-0.2615,-0.049,0.1971,0.0842,849.1631,-1.8,-44.22,-39.42,11238,-143.026,-31.7,-22.9,49.17429765,-121.6758945,0
0.081,0.3709,0.4915,0.7847,-0.0896,0.0638,-0.2615,-0.049,0.1971,0.0842,849.1631,-1.8,-44.22,-39.42,11238,-143.463,-29.523,-25.297,49.17429765,-121.6758945,0
0.083,0.3709,0.4915,0.7847,-0.0896,0.0638,-0.2615,-0.049,0.1971,0.0842,849.1631,-1.86,-44.22,-39.42,11238,-143.544,-29.523,-25.297,49.17429765,-121.6758945,0
0.085,0.3709,0.4915,0.7847,-0.0896,0.0638,-0.2615,0.2407,-0.4133,0.0735,849.1631,-1.86,-44.22,-39.42,11238,-143.544,-29.523,-25.297,49.17429765,-121.6758945,0
0.102,0.3709,0.4915,0.7847,0.1473,-0.2465,0.0492,0.2407,-0.4133,0.0735,849.1631,-1.86,-44.22,-39.42,11238,-143.544,-29.523,-25.297,49.17429765,-121.6758945,0
0.141,0.3958,0.4661,0.7944,0.1473,-0.2465,0.0492,0.2407,-0.4133,0.0735,849.1631,-1.86,-44.22,-39.42,11238,-144.562,-27.705,-26.482,49.17429765,-121.6758945,0
0.143,0.3958,0.4661,0.7944,0.1473,-0.2465,0.0492,0.2407,-0.4133,0.0735,849.1631,-1.86,-44.28,-39.36,11238,-144.701,-27.705,-26.482,49.17429765,-121.6758945,0
0.144,0.3958,0.4661,0.7944,0.1473,-0.2465,0.0492,0.6306,-0.7201,-0.1758,849.1631,-1.86,-44.28,-39.36,11238,-144.701,-27.705,-26.482,49.17429765,-121.6758945,0
