time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s)
0.012,0.2355,0.5438,0.7504,-0.0649,0.2575,-0.6967,0.2344,-0.1736,0.0458,850.1921,-10.26,-18.78,-29.04,28.016,-34.658,-17.423,49.17440244,-121.6779525,0
0.037,0.2795,0.4837,0.8228,-0.0649,0.2575,-0.6967,0.2344,-0.1736,0.0458,850.1921,-10.26,-18.78,-29.04,165.342,-29.101,-18.762,49.17440244,-121.6779525,0
0.038,0.2795,0.4837,0.8228,-0.0649,0.2575,-0.6967,0.2344,-0.1736,0.0458,850.1921,-10.32,-18.84,-28.98,163.305,-29.101,-18.762,49.17440244,-121.6779525,0
0.039,0.2795,0.4837,0.8228,-0.0649,0.2575,-0.6967,-0.2748,-0.1949,0.1236,850.1921,-10.32,-18.84,-28.98,163.305,-29.101,-18.762,49.17440244,-121.6779525,0
0.054,0.2795,0.4837,0.8228,0.2646,-0.1922,-0.0438,-0.2748,-0.1949,0.1236,850.1921,-10.32,-18.84,-28.98,163.305,-29.101,-18.762,49.17440244,-121.6779525,0
0.099,0.2878,0.4807,0.8887,0.2646,-0.1922,-0.0438,-0.2748,-0.1949,0.1236,850.1921,-10.32,-18.84,-28.98,161.638,-27.231,-17.943,49.17440244,-121.6779525,0
0.101,0.2878,0.4807,0.8887,0.2646,-0.1922,-0.0438,-0.2748,-0.1949,0.1236,850.1921,-10.5,-18.9,-28.92,158.461,-27.231,-17.943,49.17440244,-121.6779525,0
0.103,0.2878,0.4807,0.8887,0.2646,-0.1922,-0.0438,0.3313,-0.3143,-0.0341,850.1921,-10.5,-18.9,-28.92,158.461,-27.231,-17.943,49.17440244,-121.6779525,0
0.116,0.2878,0.4807,0.8887,0.1415,-0.2587,0.6911,0.3313,-0.3143,-0.0341,850.1921,-10.5,-18.9,-28.92,158.461,-27.231,-17.943,49.17440244,-121.6779525,0
0.155,0.3362,0.5242,0.6278,0.1415,-0.2587,0.6911,0.3313,-0.3143,-0.0341,850.1921,-10.5,-18.9,-28.92,-57.209,-36.357,-28.167,49.17440244,-121.6779525,0
0.159,0.3362,0.5242,0.6278,0.1415,-0.2587,0.6911,0.3313,-0.3143,-0.0341,850.1921,-10.62,-18.84,-28.86,-55.926,-36.357,-28.167,49.17440244,-121.6779525,0
0.161,0.3362,0.5242,0.6278,0.1415,-0.2587,0.6911,0.4176,0.066,-0.0501,850.1921,-10.62,-18.84,-28.86,-55.926,-36.357,-28.167,49.17440244,-121.6779525,0
0.163,0.3362,0.5242,0.6278,0.1415,-0.2587,0.6911,0.4176,0.066,-0.0501,849.9285,-10.62,-18.84,-28.86,-55.926,-36.357,-28.167,49.17440244,-121.6779525,0
0.164,0.3362,0.5242,0.6278,0.1415,-0.2587,0.6911,0.4176,0.066,-0.0501,849.9285,-10.62,-18.84,-28.86,-55.926,-36.357,-28.167,49.17440244,-121.6779525,0
0.178,0.3362,0.5242,0.6278,0.6017,-0.143,-1.6602,0.4176,0.066,-0.0501,849.9285,-10.62,-18.84,-28.86,-55.926,-36.357,-28.167,49.17440244,-121.6779525,0
0.214,0.2941,0.4964,0.7739,0.6017,-0.143,-1.6602,0.4176,0.066,-0.0501,849.9285,-10.62,-18.84,-28.86,-136.713,-30.944,-20.811,49.17440244,-121.6779525,0
0.215,0.2941,0.4964,0.7739,0.6017,-0.143,-1.6602,0.4176,0.066,-0.0501,849.9285,-10.8,-18.9,-28.8,-160.851,-30.944,-20.811,49.17440244,-121.6779525,0
0.217,0.2941,0.4964,0.7739,0.6017,-0.143,-1.6602,-0.2876,0.2429,0.0415,849.9285,-10.8,-18.9,-28.8,-160.851,-30.944,-20.811,49.17440244,-121.6779525,0
0.234,0.2941,0.4964,0.7739,0.2325,-0.2708,-0.3389,-0.2876,0.2429,0.0415,849.9285,-10.8,-18.9,-28.8,-160.851,-30.944,-20.811,49.17440244,-121.6779525,0
0.275,0.2565,0.4734,0.7719,0.2325,-0.2708,-0.3389,-0.2876,0.2429,0.0415,849.9285,-10.8,-18.9,-28.8,126.866,-30.198,-18.382,49.17440244,-121.6779525,0
0.281,0.2565,0.4734,0.7719,0.2325,-0.2708,-0.3389,-0.2876,0.2429,0.0415,849.9285,-10.98,-18.9,-28.74,122.825,-30.198,-18.382,49.17440244,-121.6779525,0
0.283,0.2565,0.4734,0.7719,0.2325,-0.2708,-0.3389,-0.3217,0.5965,-0.0202,849.9285,-10.98,-18.9,-28.74,122.825,-30.198,-18.382,49.17440244,-121.6779525,0
0.299,0.2565,0.4734,0.7719,0.1294,-0.3483,-0.5348,-0.3217,0.5965,-0.0202,849.9285,-10.98,-18.9,-28.74,122.825,-30.198,-18.382,49.17440244,-121.6779525,0
0.334,0.1827,0.4382,0.8164,0.1294,-0.3483,-0.5348,-0.3217,0.5965,-0.0202,849.9285,-10.98,-18.9,-28.74,120.521,-27.646,-12.617,49.17437819,-121.6781696,0
0.337,0.1827,0.4382,0.8164,0.1294,-0.3483,-0.5348,-0.3217,0.5965,-0.0202,849.9285,-11.22,-18.9,-28.62,119.39,-27.646,-12.617,49.17437819,-121.6781696,0
0.338,0.1827,0.4382,0.8164,0.1294,-0.3483,-0.5348,-0.9811,0.9673,0.0671,849.9285,-11.22,-18.9,-28.62,119.39,-27.646,-12.617,49.17437819,-121.6781696,0
0.341,0.1827,0.4382,0.8164,0.1294,-0.3483,-0.5348,-0.9811,0.9673,0.0671,850.0012,-11.22,-18.9,-28.62,119.39,-27.646,-12.617,49.17437819,-121.6781696,0
0.342,0.1827,0.4382,0.8164,0.1294,-0.3483,-0.5348,-0.9811,0.9673,0.0671,850.0012,-11.22,-18.9,-28.62,119.39,-27.646,-12.617,49.17437819,-121.6781696,0
0.355,0.1827,0.4382,0.8164,-0.0126,-0.2903,-0.4784,-0.9811,0.9673,0.0671,850.0012,-11.22,-18.9,-28.62,119.39,-27.646,-12.617,49.17437819,-121.6781696,0
0.397,0.2086,0.3982,0.9816,-0.0126,-0.2903,-0.4784,-0.9811,0.9673,0.0671,850.0012,-11.22,-18.9,-28.62,141.791,-21.642,-12,49.17437819,-121.6781696,0
0.399,0.2086,0.3982,0.9816,-0.0126,-0.2903,-0.4784,-0.9811,0.9673,0.0671,850.0012,-11.4,-18.9,-28.56,140.796,-21.642,-12,49.17437819,-121.6781696,0
0.401,0.2086,0.3982,0.9816,-0.0126,-0.2903,-0.4784,-0.7883,0.3856,0.4687,850.0012,-11.4,-18.9,-28.56,140.796,-21.642,-12,49.17437819,-121.6781696,0
0.415,0.2086,0.3982,0.9816,0.3965,-0.1312,0.8337,-0.7883,0.3856,0.4687,850.0012,-11.4,-18.9,-28.56,140.796,-21.642,-12,49.17437819,-121.6781696,0
0.456,0.214,0.3527,0.8159,0.3965,-0.1312,0.8337,-0.7883,0.3856,0.4687,850.0012,-11.4,-18.9,-28.56,146.274,-22.692,-14.697,49.17437819,-121.6781696,0
0.459,0.214,0.3527,0.8159,0.3965,-0.1312,0.8337,-0.7883,0.3856,0.4687,850.0012,-11.52,-18.84,-28.56,145.15,-22.692,-14.697,49.17437819,-121.6781696,0
0.461,0.214,0.3527,0.8159,0.3965,-0.1312,0.8337,-0.1886,1.1633,0.9385,850.0012,-11.52,-18.84,-28.56,145.15,-22.692,-14.697,49.17437819,-121.6781696,0
0.474,0.214,0.3527,0.8159,0.741,-0.3768,-0.9278,-0.1886,1.1633,0.9385,850.0012,-11.52,-18.84,-28.56,145.15,-22.692,-14.697,49.17437819,-121.6781696,0
0.515,0.151,0.3434,0.8482,0.741,-0.3768,-0.9278,-0.1886,1.1633,0.9385,850.0012,-11.52,-18.84,-28.56,135.02,-21.734,-10.093,49.17437819,-121.6781696,0
