
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.0200,0.3283,0.6048,0.7500,0.0168,-0.0936,0.3019,0.0138,-0.1502,0.0447,854.5264,1.0200,-32.2800,-46.6800,-92.321,-36.457,-23.645,49.17413001,-121.68320468,1.16999996,
0.0410,0.3147,0.6024,0.7338,0.0168,-0.0936,0.3019,0.0138,-0.1502,0.0447,854.5264,1.0200,-32.2800,-46.6800,-90.510,-37.033,-23.210,49.17413001,-121.68320468,1.16999996,
0.0420,0.3147,0.6024,0.7338,0.0168,-0.0936,0.3019,0.0138,-0.1502,0.0447,854.5264,1.0800,-32.2800,-46.6800,-90.550,-37.033,-23.210,49.17413001,-121.68320468,1.16999996,
0.0430,0.3147,0.6024,0.7338,0.0168,-0.0936,0.3019,-0.1150,-0.0778,0.0373,854.5264,1.0800,-32.2800,-46.6800,-90.550,-37.033,-23.210,49.17413001,-121.68320468,1.16999996,
0.0800,0.3147,0.6024,0.7338,-0.1488,-0.0709,0.1186,-0.1150,-0.0778,0.0373,854.5264,1.0800,-32.2800,-46.6800,-90.550,-37.033,-23.210,49.17413001,-121.68320468,1.16999996,
0.1020,0.2971,0.6058,0.6708,-0.1488,-0.0709,0.1186,-0.1150,-0.0778,0.0373,854.5264,1.0800,-32.2800,-46.6800,-84.235,-39.549,-23.887,49.17413001,-121.68320468,1.16999996,
0.1030,0.2971,0.6058,0.6708,-0.1488,-0.0709,0.1186,-0.1150,-0.0778,0.0373,854.5264,1.0800,-32.2800,-46.6800,-84.235,-39.549,-23.887,49.17413001,-121.68320468,1.16999996,
0.1040,0.2971,0.6058,0.6708,-0.1488,-0.0709,0.1186,0.0458,0.0277,0.0352,854.5264,1.0800,-32.2800,-46.6800,-84.235,-39.549,-23.887,49.17413001,-121.68320468,1.16999996,
0.1390,0.2971,0.6058,0.6708,-0.3338,-0.0349,-0.4954,0.0458,0.0277,0.0352,854.5264,1.0800,-32.2800,-46.6800,-84.235,-39.549,-23.887,49.17413001,-121.68320468,1.16999996,
0.1620,0.3196,0.5916,0.7377,-0.3338,-0.0349,-0.4954,0.0458,0.0277,0.0352,854.5264,1.0800,-32.2800,-46.6800,-92.534,-36.349,-23.420,49.17413001,-121.68320468,1.16999996,
0.1630,0.3196,0.5916,0.7377,-0.3338,-0.0349,-0.4954,0.0458,0.0277,0.0352,854.5264,1.1400,-32.2800,-46.6800,-92.568,-36.349,-23.420,49.17413001,-121.68320468,1.16999996,
