
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.1050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1254,-0.0480,0.1397,0.00000000,0.00000000,0.00000000,
0.1060,-0.1086,0.2647,1.0067,0.0000,0.0000,0.0000,-0.1254,-0.0480,0.1397,49.27884416,-122.98103131,0.00000000,
0.1720,-0.1086,0.2647,1.0067,0.0000,0.0000,0.0000,-0.0448,0.0539,0.2303,49.27884416,-122.98103131,0.00000000,
0.1730,-0.1272,0.2865,0.9664,0.0000,0.0000,0.0000,-0.0448,0.0539,0.2303,49.27884416,-122.98103131,0.00000000,
0.1900,-0.1272,0.2865,0.9664,0.0000,0.0000,0.0000,-0.0448,0.0539,0.2303,49.27884416,-122.98103131,0.00000000,
0.2290,-0.1272,0.2865,0.9664,0.0000,0.0000,0.0000,-0.1466,0.0651,0.1765,49.27884416,-122.98103131,0.00000000,
0.2300,-0.1037,0.2989,0.9309,0.0000,0.0000,0.0000,-0.1466,0.0651,0.1765,49.27884416,-122.98103131,0.00000000,
0.2470,-0.1037,0.2989,0.9309,0.0289,0.2566,-0.2913,-0.1466,0.0651,0.1765,49.27884416,-122.98103131,0.00000000,
0.3050,-0.1728,0.3504,0.9765,0.0289,0.2566,-0.2913,-0.1466,0.0651,0.1765,49.27884416,-122.98103131,0.00000000,
0.3060,-0.1728,0.3504,0.9765,0.0289,0.2566,-0.2913,-0.3157,0.4011,0.2617,49.27884416,-122.98103131,0.00000000,
0.3230,-0.1728,0.3504,0.9765,0.3210,0.2042,-0.1909,-0.3157,0.4011,0.2617,49.27884416,-122.98103131,0.00000000,
0.3610,-0.1728,0.3504,0.9765,0.3210,0.2042,-0.1909,0.3114,1.6821,0.7497,49.27884416,-122.98103131,0.00000000,
0.3630,-0.1957,0.5361,0.7285,0.3210,0.2042,-0.1909,0.3114,1.6821,0.7497,49.27884416,-122.98103131,0.00000000,
0.3810,-0.1957,0.5361,0.7285,0.3086,0.7562,0.2102,0.3114,1.6821,0.7497,49.27884416,-122.98103131,0.00000000,
0.4380,-0.1957,0.5361,0.7285,0.3086,0.7562,0.2102,-0.0703,1.7176,1.2634,49.27884416,-122.98103131,0.00000000,
0.4390,-0.3727,0.4325,0.7107,0.3086,0.7562,0.2102,-0.0703,1.7176,1.2634,49.27884416,-122.98103131,0.00000000,
0.4560,-0.3727,0.4325,0.7107,1.2859,1.3970,-2.0917,-0.0703,1.7176,1.2634,49.27884416,-122.98103131,0.00000000,
0.4950,-0.5299,0.3615,0.7759,1.2859,1.3970,-2.0917,-0.0703,1.7176,1.2634,49.27884416,-122.98103131,0.00000000,
0.4960,-0.5299,0.3615,0.7759,1.2859,1.3970,-2.0917,-0.1750,4.6609,2.1643,49.27884416,-122.98103131,0.00000000,
0.5130,-0.5299,0.3615,0.7759,0.1463,-0.5287,0.2946,-0.1750,4.6609,2.1643,49.27884416,-122.98103131,0.00000000,
