
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0770,-0.0995,0.0378,1.0507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0960,-0.0995,0.0378,1.0507,0.0000,0.0000,0.0000,0.3779,0.8358,1.8363,49.27858332,-122.98370947,0.00000000,
0.1350,-0.0988,0.0672,1.0741,0.0000,0.0000,0.0000,0.3779,0.8358,1.8363,49.27858332,-122.98370947,0.00000000,
0.1530,-0.0988,0.0672,1.0741,0.0000,0.0000,0.0000,0.4207,1.4008,2.1566,49.27858332,-122.98370947,0.00000000,
0.1740,-0.0988,0.0672,1.0741,0.0000,0.0000,0.0000,0.4207,1.4008,2.1566,49.27858332,-122.98370947,0.00000000,
0.2110,-0.1436,0.1221,0.9362,0.0000,0.0000,0.0000,0.4207,1.4008,2.1566,49.27858332,-122.98370947,0.00000000,
0.2300,-0.1436,0.1221,0.9362,0.0000,0.0000,0.0000,0.2603,1.2357,2.3779,49.27858332,-122.98370947,0.00000000,
0.2500,-0.1436,0.1221,0.9362,0.2957,-0.0576,-0.2848,0.2603,1.2357,2.3779,49.27858332,-122.98370947,0.00000000,
0.2700,-0.0810,0.1578,0.9904,0.2957,-0.0576,-0.2848,0.2603,1.2357,2.3779,49.27858332,-122.98370947,0.00000000,
0.2870,-0.0810,0.1578,0.9904,0.2957,-0.0576,-0.2848,-0.2460,1.1339,2.4566,49.27858332,-122.98370947,0.00000000,
0.3060,-0.0810,0.1578,0.9904,0.3162,0.3199,-0.3809,-0.2460,1.1339,2.4566,49.27858332,-122.98370947,0.00000000,
0.3440,-0.0745,0.1204,1.0954,0.3162,0.3199,-0.3809,-0.2460,1.1339,2.4566,49.27858332,-122.98370947,0.00000000,
0.3630,-0.0745,0.1204,1.0954,0.3162,0.3199,-0.3809,-0.4729,0.8198,2.2376,49.27858332,-122.98370947,0.00000000,
0.3830,-0.0745,0.1204,1.0954,1.3459,0.4304,0.1222,-0.4729,0.8198,2.2376,49.27858332,-122.98370947,0.00000000,
0.4020,-0.0373,0.1809,1.1689,1.3459,0.4304,0.1222,-0.4729,0.8198,2.2376,49.27858332,-122.98370947,0.00000000,
0.4200,-0.0373,0.1809,1.1689,1.3459,0.4304,0.1222,-0.2651,1.3753,2.1433,49.27858332,-122.98370947,0.00000000,
0.4400,-0.0373,0.1809,1.1689,1.0000,-0.3486,1.5034,-0.2651,1.3753,2.1433,49.27858332,-122.98370947,0.00000000,
0.4770,-0.1440,0.1431,0.8339,1.0000,-0.3486,1.5034,-0.2651,1.3753,2.1433,49.27858332,-122.98370947,0.00000000,
0.4970,-0.1440,0.1431,0.8339,1.0000,-0.3486,1.5034,-0.4307,0.9109,1.8562,49.27858332,-122.98370947,0.00000000,
0.5170,-0.1440,0.1431,0.8339,1.4173,0.8205,-0.3427,-0.4307,0.9109,1.8562,49.27858332,-122.98370947,0.00000000,
0.5360,-0.1846,0.1722,0.7896,1.4173,0.8205,-0.3427,-0.4307,0.9109,1.8562,49.27858332,-122.98370947,0.00000000,
0.5540,-0.1846,0.1722,0.7896,1.4173,0.8205,-0.3427,-0.7794,1.0620,1.8908,49.27858332,-122.98370947,0.00000000,
0.5730,-0.1846,0.1722,0.7896,1.3637,0.1572,-1.5800,-0.7794,1.0620,1.8908,49.27858332,-122.98370947,0.00000000,
0.6110,-0.4074,0.2178,0.5941,1.3637,0.1572,-1.5800,-0.7794,1.0620,1.8908,49.27858332,-122.98370947,0.00000000,
0.6300,-0.4074,0.2178,0.5941,1.3637,0.1572,-1.5800,-1.4423,1.2634,2.1987,49.27858332,-122.98370947,0.00000000,
0.6510,-0.4074,0.2178,0.5941,0.3812,1.4260,-2.1402,-1.4423,1.2634,2.1987,49.27858332,-122.98370947,0.00000000,
0.6690,-0.6809,0.0797,0.8687,0.3812,1.4260,-2.1402,-1.4423,1.2634,2.1987,49.27858332,-122.98370947,0.00000000,
0.6880,-0.6809,0.0797,0.8687,0.3812,1.4260,-2.1402,-1.7660,3.9982,3.9623,49.27858332,-122.98370947,0.00000000,
0.7080,-0.6809,0.0797,0.8687,-0.1251,0.5240,-1.2370,-1.7660,3.9982,3.9623,49.27858332,-122.98370947,0.00000000,
0.7440,-0.5419,0.2658,0.8028,-0.1251,0.5240,-1.2370,-1.7660,3.9982,3.9623,49.27858332,-122.98370947,0.00000000,
0.7630,-0.5419,0.2658,0.8028,-0.1251,0.5240,-1.2370,-0.9334,3.3658,3.4112,49.27858332,-122.98370947,0.00000000,
